object size_keys(kB) size_values(kB) total(kB) nr_keys nr_values
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.95 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.119 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.85 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.60 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.18 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.104 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.108 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.5 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.36 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.29 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.3 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.81 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.85 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.90 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.122 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.9 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.1 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.29 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.61 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.88 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.73 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.11 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.49 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.60 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.32 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.63 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.38 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.72 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.57 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.94 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.71 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.68 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.44 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.4 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.12 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.82 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.125 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.109 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.76 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.125 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.41 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.110 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.13 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.108 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.1 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.116 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.24 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.117 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.28 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.20 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.103 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.112 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.116 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.58 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.33 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.46 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.31 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.79 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.159058.1.0 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.16 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.78 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.60 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.81 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.20 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.113 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.83 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.77 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.22 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.8 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.96 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.63 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.114 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.101 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.11 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.53 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.64 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.56 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.24 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.41 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.6 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.110 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.24 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.22 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.66 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.10 0 0 0 0 0
